full_name,number
microsoft/ApplicationInsights-Java,4310
halo-dev/halo,7611
sakaiproject/sakai,13751
OpenHFT/Chronicle-Core,694
OpenHFT/Chronicle-Core,697
OpenHFT/Chronicle-Core,715
2006-Scape/2006Scape,669
VerisimilitudeX/DNAnalyzer,510
OpenHFT/Chronicle-Core,700
OpenHFT/Chronicle-Core,716
OpenHFT/Chronicle-Core,727
OpenHFT/Chronicle-Core,732
Stirling-Tools/Stirling-PDF,3553
OpenHFT/Chronicle-Threads,274
OpenHFT/Chronicle-Bytes,655
VerisimilitudeX/DNAnalyzer,508
VerisimilitudeX/DNAnalyzer,517
VerisimilitudeX/DNAnalyzer,532
jdereg/java-util,327
sakaiproject/sakai,13754
Stirling-Tools/Stirling-PDF,3990
plantuml/plantuml,2211
operaton/operaton,904
apache/pinot,16117
freeplane/freeplane,2540
Stirling-Tools/Stirling-PDF,3622
OpenHFT/Chronicle-Core,706
OpenHFT/Chronicle-Core,707
OpenHFT/Chronicle-Core,713
OpenHFT/Chronicle-Core,717
OpenHFT/Chronicle-Core,719
OpenHFT/Chronicle-Core,726
OpenHFT/Chronicle-Core,729
OpenHFT/Chronicle-Core,735
OpenHFT/Chronicle-Bytes,686
Kaljurand/K6nele,120
OpenHFT/Chronicle-Core,705
OpenHFT/Chronicle-Core,711
VerisimilitudeX/DNAnalyzer,526
xpinjection/test-driven-spring-boot,10
OpenHFT/Chronicle-Core,701
OpenHFT/Chronicle-Core,704
OpenHFT/Chronicle-Core,720
OpenHFT/Chronicle-Core,721
OpenHFT/Chronicle-Core,731
OpenHFT/Chronicle-Core,733
OpenHFT/Chronicle-Core,734
Kaljurand/K6nele,119
GrimAnticheat/Grim,2138
stingle/stingle-photos-android,153
SimonHalvdansson/Harmonic-HN,224
OpenHFT/Java-Thread-Affinity,175
OpenHFT/Chronicle-Core,702
OpenHFT/Chronicle-Core,703
OpenHFT/Chronicle-Core,725
dji-sdk/Mobile-SDK-Android-V5,584
apache/ozone,8572
chsami/Microbot,1113
OpenHFT/Chronicle-Core,698
OpenHFT/Chronicle-Core,712
OpenHFT/Chronicle-Core,722
Stirling-Tools/Stirling-PDF,3993
OpenHFT/Chronicle-Core,708
OpenHFT/Chronicle-Core,709
OpenHFT/Chronicle-Core,710
OpenHFT/Chronicle-Core,714
OpenHFT/Chronicle-Core,723
OpenHFT/Chronicle-Core,724
OpenHFT/Chronicle-Core,730
traccar/traccar,5560
Stirling-Tools/Stirling-PDF,3992
OpenHFT/Chronicle-Values,160
VerisimilitudeX/DNAnalyzer,514
VerisimilitudeX/DNAnalyzer,518
VerisimilitudeX/DNAnalyzer,523
Igalia/wolvic,1876
kongzue/DialogX,503
OpenHFT/Chronicle-Core,718
OpenHFT/Chronicle-Core,728
jdereg/java-util,156
VerisimilitudeX/DNAnalyzer,515
VerisimilitudeX/DNAnalyzer,516
EduMIPS64/edumips64,1381
OpenHFT/Chronicle-Wire,1001
OpenHFT/Chronicle-Wire,1002
OpenHFT/Chronicle-Wire,1003
OpenHFT/Chronicle-Wire,1004
OpenHFT/Chronicle-Wire,1005
OpenHFT/Chronicle-Wire,1006
OpenHFT/Chronicle-Wire,1007
OpenHFT/Chronicle-Wire,1008
OpenHFT/Chronicle-Wire,1018
nuxeo/nuxeo,5272
OpenHFT/Chronicle-Core,696
OpenHFT/Chronicle-Core,699
OpenHFT/Chronicle-Values,151
jdereg/java-util,160
OpenHFT/Chronicle-Wire,1141
OpenHFT/Java-Thread-Affinity,154
OpenHFT/Chronicle-Wire,1077
OpenHFT/Chronicle-Wire,1081
jdereg/java-util,339
stingle/stingle-photos-android,152
cwuom/ono,2
spring-projects/spring-kafka,3944
ikarus23/MifareClassicTool,523
OpenHFT/Chronicle-Core,695
jbangdev/jbang,2092
StarRocks/starrocks,61219
YunaiV/yudao-cloud,243
datahub-project/datahub,14037
StarRocks/starrocks,61394
StarRocks/starrocks,61403
YunaiV/ruoyi-vue-pro,895
YunaiV/ruoyi-vue-pro,906
datahub-project/datahub,14258
StarRocks/starrocks,61244
why168/LoopViewPagerLayout,31
liyupi/yu-ai-agent,6
StarRocks/starrocks,61248
YunaiV/ruoyi-vue-pro,909
rieckpil/testing-spring-boot-applications-masterclass,464
domaframework/doma,1323
domaframework/doma,1325
