Repo,PR_number,Commits,Additions,Deletions,Files_Changed,Comments,Formal_Review,Inline_Comments_Review,NumPathsInFile,AvgPathCharLength,MaxPathCharLength
akto-api-security/akto,2620,2,26,2,1,0,0.0,0,1,26.0,26
akto-api-security/akto,2624,2,26,1,1,0,0.0,0,1,92.0,92
RyanSusana/elepy,181,5,15552,21918,185,0,0.0,0,185,66.28648648648648,91
RyanSusana/elepy,182,3,9412,25630,7,0,0.0,0,7,50.142857142857146,60
trinodb/trino,26149,3,0,0,0,5,0.0,0,0,0.0,0
microsoft/ApplicationInsights-Java,4324,3,392,131,6,0,0.0,0,6,103.66666666666667,112
microsoft/ApplicationInsights-Java,4325,1,0,0,0,0,0.0,0,0,0.0,0
microsoft/typespec,7798,4,152,0,1,4,0.0,0,1,51.0,51
microsoft/ApplicationInsights-Java,4254,1,0,0,0,0,0.0,0,0,0.0,0
microsoft/ApplicationInsights-Java,4255,8,43,0,1,12,2.0,2,1,44.0,44
microsoft/typespec,7942,3,0,226,2,0,4.0,4,2,106.5,109
Azure/azure-sdk-for-java,45484,2,156,57,5,0,0.0,0,5,83.4,109
microsoft/typespec,7535,3,67,6,2,1,3.0,3,2,37.5,39
hyperxpro/Brotli4j,217,1,0,0,0,0,0.0,0,0,0.0,0
hyperxpro/Brotli4j,218,3,316,16,2,0,4.0,4,2,43.0,77
akto-api-security/akto,2674,2,25,1,2,0,0.0,0,2,44.0,54
YunaiV/ruoyi-vue-pro,907,2,25,18,8,0,0.0,0,8,103.0,114
YunaiV/ruoyi-vue-pro,908,3,282,216,1,1,0.0,0,1,9.0,9
mixpanel/mixpanel-android,866,6,422,14,6,2,0.0,2,6,69.0,91
microsoft/typespec,7729,12,401,141228,178,12,13.0,12,178,110.78651685393258,196
EduMIPS64/edumips64,1366,13,401,36,5,7,0.0,1,5,25.6,42
1c-syntax/bsl-language-server,3486,22,374,1,8,11,48.0,68,8,98.5,128
camunda/camunda,34762,1,0,0,0,0,0.0,0,0,0.0,0
binarywang/WxJava,3663,1,0,0,0,0,0.0,0,0,0.0,0
AutoMQ/automq,2652,1,0,0,0,1,0.0,0,0,0.0,0
jenkinsci/jira-plugin,715,6,1074,1036,60,12,0.0,0,60,74.46666666666667,105
Azure/azure-sdk-for-java,45809,1,0,0,0,0,0.0,0,0,0.0,0
1c-syntax/bsl-language-server,3483,7,172,57,3,6,0.0,0,3,28.0,41
camunda/camunda,34168,5,142,3,2,3,0.0,0,2,109.5,111
microsoft/ApplicationInsights-Java,4303,3,2,1,2,0,0.0,0,2,23.5,37
microsoft/ApplicationInsights-Java,4270,2,3,1,1,0,0.0,0,1,117.0,117
objectionary/eo,4281,8,1256,34,18,9,0.0,0,18,51.888888888888886,70
objectionary/eo,4283,3,69,0,2,0,0.0,0,2,60.0,66
microsoft/typespec,7771,11,128,4,4,10,11.0,6,4,41.0,69
valkey-io/valkey-glide,4273,2,47,0,1,0,0.0,0,1,22.0,22
halo-dev/halo,7645,1,0,0,0,6,0.0,0,0,0.0,0
qaiu/netdisk-fast-download,111,2,4770,0,19,0,0.0,0,19,21.63157894736842,33
microsoft/typespec,7553,8,33,8,4,10,9.0,7,4,48.5,55
objectionary/eo,4320,6,245,99,4,6,0.0,0,4,61.0,67
microsoft/ApplicationInsights-Java,4260,18,49,35,4,12,12.0,12,4,117.0,131
wso2/product-is,24528,3,33,0,3,1,0.0,0,3,25.0,40
microsoft/ApplicationInsights-Java,4307,2,8,11,1,7,0.0,0,1,9.0,9
microsoft/ApplicationInsights-Java,4308,2,10,2,1,0,0.0,0,1,125.0,125
halo-dev/halo,7612,1,0,0,0,4,0.0,0,0,0.0,0
microsoft/typespec,7611,3,493,940,3,0,0.0,0,3,49.0,62
microsoft/typespec,7612,4,189539,940,505,0,0.0,0,505,106.24554455445545,132
camunda/camunda,35372,7,23,0,2,4,18.0,25,2,88.5,117
valkey-io/valkey-glide,4463,5,293,7,3,6,0.0,0,3,24.0,27
EduMIPS64/edumips64,1384,1,0,0,0,1,0.0,0,0,0.0,0
valkey-io/valkey-glide,4515,2,4,2,1,0,2.0,0,1,26.0,26
CarGuo/GSYVideoPlayer,4150,2,258,20,7,0,0.0,0,7,67.28571428571429,90
camunda/camunda,35209,5,148,2022,33,3,3.0,4,33,93.96969696969697,117
apolloconfig/apollo,5437,1,0,0,0,0,0.0,0,0,0.0,0
OWASP/wrongsecrets,2121,7,118,25,15,24,0.0,0,15,40.4,68
halo-dev/halo,7644,2,205,1,7,7,0.0,0,7,81.14285714285714,93
microsoft/typespec,7984,19,3414,904,26,9,22.0,22,26,111.3076923076923,143
microsoft/HydraLab,694,2,2,1,2,2,0.0,0,2,44.0,81
microsoft/HydraLab,695,2,3,3,2,0,0.0,0,2,44.0,81
OWASP/wrongsecrets,2127,5,366,3,2,2,0.0,0,2,33.0,42
yegor256/cactoos,1804,3,23,1,2,2,0.0,0,2,53.0,55
yegor256/cactoos,1805,5,147,3,2,6,0.0,0,2,54.5,59
Azure/azure-sdk-for-java,45796,4,441,8,4,0,0.0,0,4,123.25,128
Azure/azure-sdk-for-java,45800,4,114,11,1,1,4.0,5,1,84.0,84
Azure/azure-sdk-for-java,45801,5,61,22,6,2,7.0,6,6,104.83333333333333,141
Azure/azure-sdk-for-java,45806,2,29,1,3,0,0.0,0,3,88.66666666666667,120
binarywang/WxJava,3648,4,391,20,7,0,0.0,0,7,91.85714285714286,120
binarywang/WxJava,3649,3,9,4,3,0,0.0,0,3,100.0,102
binarywang/WxJava,3650,4,110,18,2,4,0.0,0,2,116.5,125
binarywang/WxJava,3651,4,105,7,4,2,2.0,4,4,97.0,102
binarywang/WxJava,3652,3,36,4,4,0,0.0,0,4,93.0,102
binarywang/WxJava,3653,4,511,3,9,1,0.0,0,9,91.11111111111111,108
binarywang/WxJava,3654,3,28,3,3,0,0.0,0,3,95.66666666666667,102
binarywang/WxJava,3656,2,75,0,2,0,0.0,0,2,97.0,99
binarywang/WxJava,3657,1,0,0,0,0,0.0,0,0,0.0,0
binarywang/WxJava,3659,3,221,6,6,0,0.0,0,6,98.83333333333333,102
microsoft/semantic-kernel-java,326,2,4,143,9,2,5.0,0,9,84.66666666666667,190
mixpanel/mixpanel-android,862,2,2,1,1,0,2.0,1,1,66.0,66
microsoft/ApplicationInsights-Java,4337,1,0,0,0,0,0.0,0,0,0.0,0
microsoft/ApplicationInsights-Java,4338,2,18,14,2,0,0.0,0,2,102.5,108
microsoft/typespec,7619,9,647,934,32,4,8.0,13,32,138.8125,172
microsoft/typespec,7749,5,183,0,3,7,3.0,3,3,68.33333333333333,86
valkey-io/valkey-glide,4486,7,175,7,5,4,0.0,0,5,39.4,64
vaadin/flow,21820,5,354,2,4,4,6.0,6,4,82.5,97
vaadin/flow,21822,2,185,5,3,6,0.0,0,3,70.0,76
vaadin/flow,21823,262,325,125,1,30,7.0,7,1,94.0,94
vaadin/flow,21824,10,309,0,2,11,7.0,20,2,66.0,68
microsoft/typespec,8029,3,11,4,3,1,2.0,2,3,68.66666666666667,85
microsoft/typespec,7397,4,248,12,6,0,5.0,8,6,43.166666666666664,61
camunda/camunda,35632,14,1105,200,51,7,22.0,45,51,74.82352941176471,118
microsoft/ApplicationInsights-Java,4322,5,342,188,6,2,0.0,0,6,103.66666666666667,112
apolloconfig/apollo,5419,9,126,6,5,8,4.0,4,5,83.0,92
camunda/camunda,35422,8,551,6,20,3,3.0,2,20,102.7,122
Azure/azure-sdk-for-java,45590,28,369,31,12,15,5.0,8,12,86.25,118
feiyuchuixue/sz-boot-parent,200,4,922,7,14,1,0.0,0,14,75.71428571428571,105
microsoft/typespec,7423,8,131,4,9,4,11.0,12,9,114.0,172
microsoft/typespec,7425,6,528,1,4,0,15.0,15,4,44.5,55
microsoft/typespec,7744,3,142,1,3,0,0.0,0,3,112.0,123
microsoft/ApplicationInsights-Java,4268,3,107,107,23,2,0.0,0,23,45.26086956521739,65
tonihele/OpenKeeper,489,3,707,64,6,0,0.0,0,6,43.833333333333336,72
camunda/camunda,34672,3,837,1,13,1,0.0,0,13,65.76923076923077,78
camunda/camunda,35143,1,0,0,0,0,0.0,0,0,0.0,0
W1LDN16H7/JPL,3,1,0,0,0,0,0.0,0,0,0.0,0
geoserver/geoserver,8663,2,244,0,2,1,0.0,0,2,64.5,82
valkey-io/valkey-glide,4378,7,25,46,1,3,0.0,0,1,27.0,27
valkey-io/valkey-glide,4379,5,44,44,1,2,0.0,0,1,36.0,36
valkey-io/valkey-glide,4382,4,129,52,7,2,0.0,0,7,28.714285714285715,37
valkey-io/valkey-glide,4383,3,8,4,1,3,0.0,0,1,36.0,36
valkey-io/valkey-glide,4385,3,26,13,3,0,0.0,0,3,46.333333333333336,58
valkey-io/valkey-glide,4387,4,22,7,1,3,0.0,0,1,60.0,60
valkey-io/valkey-glide,4388,6,9,2,4,2,2.0,3,4,26.0,33
valkey-io/valkey-glide,4389,3,43,7,6,2,0.0,0,6,28.666666666666668,45
valkey-io/valkey-glide,4390,12,82,18,4,4,8.0,8,4,25.75,37
camunda/camunda,35888,17,154,144,46,35,24.0,22,46,83.56521739130434,137
Azure-Samples/azure-search-openai-demo-java,111,4,113,0,2,0,0.0,0,2,43.0,43
camunda/camunda,35889,3,46,36,8,5,0.0,0,8,79.25,98
microsoft/ApplicationInsights-Java,4310,7,467,0,8,2,6.0,6,8,88.875,138
halo-dev/halo,7611,3,286,1,8,5,0.0,0,8,30.5,63
sakaiproject/sakai,13751,4,680,67,20,0,0.0,0,20,71.7,94
OpenHFT/Chronicle-Core,694,1,0,1,1,1,0.0,0,1,22.0,22
OpenHFT/Chronicle-Core,697,1,1,1,1,1,0.0,0,1,21.0,21
OpenHFT/Chronicle-Core,715,1,25,0,1,1,0.0,0,1,75.0,75
2006-Scape/2006Scape,669,31,1651,1332,39,0,0.0,0,39,42.82051282051282,56
VerisimilitudeX/DNAnalyzer,510,2,95,7,6,1,0.0,0,6,45.166666666666664,59
OpenHFT/Chronicle-Core,700,1,31,5,6,1,0.0,0,6,64.33333333333333,77
OpenHFT/Chronicle-Core,716,1,16,0,1,1,0.0,0,1,83.0,83
OpenHFT/Chronicle-Core,727,1,17,0,1,1,0.0,0,1,74.0,74
OpenHFT/Chronicle-Core,732,1,37,0,1,1,0.0,0,1,68.0,68
Stirling-Tools/Stirling-PDF,3553,1,79,2,2,0,0.0,0,2,85.0,87
OpenHFT/Chronicle-Threads,274,1,3,3,1,1,0.0,0,1,67.0,67
OpenHFT/Chronicle-Bytes,655,1,7,2,1,0,0.0,0,1,77.0,77
VerisimilitudeX/DNAnalyzer,508,2,193,44,6,1,0.0,0,6,30.833333333333332,50
VerisimilitudeX/DNAnalyzer,517,2,175,0,5,1,0.0,0,5,42.0,56
VerisimilitudeX/DNAnalyzer,532,2,278,0,4,1,0.0,0,4,55.0,65
jdereg/java-util,327,1,29,2,4,0,0.0,0,4,35.5,61
sakaiproject/sakai,13754,11,322,9,7,1,7.0,7,7,82.71428571428571,111
Stirling-Tools/Stirling-PDF,3990,1,22,2,3,3,3.0,2,3,53.666666666666664,59
plantuml/plantuml,2211,1,6,3,1,0,0.0,0,1,59.0,59
operaton/operaton,904,2,122,4185,103,7,2.0,2,103,91.29126213592232,140
apache/pinot,16117,1,58,4,3,0,0.0,0,3,62.0,63
freeplane/freeplane,2540,1,20,0,20,0,0.0,0,20,81.85,104
Stirling-Tools/Stirling-PDF,3622,1,9,0,1,0,3.0,1,1,42.0,42
OpenHFT/Chronicle-Core,706,1,28,0,1,0,0.0,0,1,77.0,77
OpenHFT/Chronicle-Core,707,1,7,1,1,1,0.0,0,1,74.0,74
OpenHFT/Chronicle-Core,713,1,9,0,1,1,0.0,0,1,52.0,52
OpenHFT/Chronicle-Core,717,1,1,0,1,1,0.0,0,1,53.0,53
OpenHFT/Chronicle-Core,719,1,13,0,1,1,0.0,0,1,74.0,74
OpenHFT/Chronicle-Core,726,1,40,0,2,1,0.0,0,2,55.0,58
OpenHFT/Chronicle-Core,729,1,66,0,1,1,0.0,0,1,72.0,72
OpenHFT/Chronicle-Core,735,1,39,0,1,1,0.0,0,1,91.0,91
OpenHFT/Chronicle-Bytes,686,1,21,3,3,1,0.0,0,3,52.666666666666664,69
Kaljurand/K6nele,120,1,19,21,1,0,0.0,0,1,14.0,14
OpenHFT/Chronicle-Core,705,1,5,3,2,1,0.0,0,2,65.0,67
OpenHFT/Chronicle-Core,711,1,11,0,1,1,0.0,0,1,52.0,52
VerisimilitudeX/DNAnalyzer,526,2,194,44,6,1,0.0,0,6,30.833333333333332,50
xpinjection/test-driven-spring-boot,10,1,3,3,2,1,0.0,0,2,70.0,71
OpenHFT/Chronicle-Core,701,1,1,0,1,1,0.0,0,1,21.0,21
OpenHFT/Chronicle-Core,704,1,8,0,1,1,0.0,0,1,67.0,67
OpenHFT/Chronicle-Core,720,1,134,0,1,1,0.0,0,1,62.0,62
OpenHFT/Chronicle-Core,721,1,15,0,1,1,0.0,0,1,56.0,56
OpenHFT/Chronicle-Core,731,1,14,0,1,1,0.0,0,1,84.0,84
OpenHFT/Chronicle-Core,733,1,53,0,1,1,0.0,0,1,68.0,68
OpenHFT/Chronicle-Core,734,1,55,0,1,1,0.0,0,1,75.0,75
Kaljurand/K6nele,119,1,123,0,6,0,0.0,0,6,50.166666666666664,73
GrimAnticheat/Grim,2138,70,29,1,13,6,0.0,1,13,44.61538461538461,77
stingle/stingle-photos-android,153,1,6,6,3,0,0.0,0,3,70.66666666666667,77
SimonHalvdansson/Harmonic-HN,224,1,50,5,1,0,0.0,0,1,68.0,68
OpenHFT/Java-Thread-Affinity,175,1,1,3,1,0,0.0,0,1,73.0,73
OpenHFT/Chronicle-Core,702,1,1,0,1,1,0.0,0,1,21.0,21
OpenHFT/Chronicle-Core,703,1,1,1,1,1,0.0,0,1,18.0,18
OpenHFT/Chronicle-Core,725,1,30,0,1,0,0.0,0,1,52.0,52
dji-sdk/Mobile-SDK-Android-V5,584,2,190,0,5,0,0.0,0,5,88.8,106
apache/ozone,8572,9,26,7,5,1,2.0,3,5,88.8,98
chsami/Microbot,1113,3,241,0,4,1,0.0,0,4,97.25,98
OpenHFT/Chronicle-Core,698,1,34,17,2,1,0.0,0,2,50.0,52
OpenHFT/Chronicle-Core,712,1,26,0,1,1,0.0,0,1,52.0,52
OpenHFT/Chronicle-Core,722,1,60,0,2,1,0.0,0,2,37.5,68
Stirling-Tools/Stirling-PDF,3993,1,374,0,1,0,0.0,6,1,36.0,36
OpenHFT/Chronicle-Core,708,1,19,0,1,1,0.0,0,1,79.0,79
OpenHFT/Chronicle-Core,709,1,18,0,1,0,0.0,0,1,80.0,80
OpenHFT/Chronicle-Core,710,1,14,0,1,1,0.0,0,1,80.0,80
OpenHFT/Chronicle-Core,714,1,24,0,1,1,0.0,0,1,65.0,65
OpenHFT/Chronicle-Core,723,1,20,0,1,1,0.0,0,1,52.0,52
OpenHFT/Chronicle-Core,724,1,20,0,1,1,0.0,0,1,52.0,52
OpenHFT/Chronicle-Core,730,1,43,0,1,1,0.0,0,1,71.0,71
traccar/traccar,5560,1,90,0,3,0,0.0,0,3,42.666666666666664,59
Stirling-Tools/Stirling-PDF,3992,5,438,75,11,0,0.0,3,11,83.63636363636364,100
OpenHFT/Chronicle-Values,160,2,0,0,0,0,0.0,0,0,0.0,0
VerisimilitudeX/DNAnalyzer,514,2,127,0,5,1,0.0,0,5,45.2,61
VerisimilitudeX/DNAnalyzer,518,2,128,0,5,1,0.0,0,5,45.2,61
VerisimilitudeX/DNAnalyzer,523,1,241,0,9,0,0.0,0,9,23.666666666666668,30
Igalia/wolvic,1876,1,253,0,6,0,0.0,0,6,29.166666666666668,39
kongzue/DialogX,503,1,15,1,3,0,0.0,0,3,54.0,73
OpenHFT/Chronicle-Core,718,1,55,0,2,1,0.0,0,2,63.0,67
OpenHFT/Chronicle-Core,728,1,45,0,1,1,0.0,0,1,86.0,86
jdereg/java-util,156,1,4,4,1,1,0.0,0,1,60.0,60
VerisimilitudeX/DNAnalyzer,515,2,96,7,6,1,0.0,0,6,45.166666666666664,59
VerisimilitudeX/DNAnalyzer,516,2,87,0,2,1,0.0,0,2,29.5,50
EduMIPS64/edumips64,1381,3,47,47,3,1,0.0,0,3,24.0,24
OpenHFT/Chronicle-Wire,1001,1,167,266,13,0,0.0,0,13,64.92307692307692,77
OpenHFT/Chronicle-Wire,1002,1,153,104,5,0,0.0,0,5,67.0,79
OpenHFT/Chronicle-Wire,1003,1,188,164,9,0,0.0,0,9,56.333333333333336,61
OpenHFT/Chronicle-Wire,1004,1,198,160,11,0,0.0,0,11,66.63636363636364,72
OpenHFT/Chronicle-Wire,1005,1,198,98,9,0,0.0,0,9,73.55555555555556,80
OpenHFT/Chronicle-Wire,1006,1,82,87,5,0,0.0,0,5,56.6,60
OpenHFT/Chronicle-Wire,1007,1,73,43,1,0,0.0,0,1,54.0,54
OpenHFT/Chronicle-Wire,1008,1,177,99,9,0,0.0,0,9,56.333333333333336,65
OpenHFT/Chronicle-Wire,1018,1,129,199,6,0,0.0,0,6,55.0,61
nuxeo/nuxeo,5272,1,92,53,4,1,0.0,0,4,123.25,134
OpenHFT/Chronicle-Core,696,1,28,4,3,1,0.0,0,3,15.333333333333334,24
OpenHFT/Chronicle-Core,699,1,28,0,5,1,0.0,0,5,71.0,82
OpenHFT/Chronicle-Values,151,1,1,0,1,0,0.0,0,1,57.0,57
jdereg/java-util,160,1,35,0,1,0,0.0,0,1,76.0,76
OpenHFT/Chronicle-Wire,1141,1,253,302,18,0,0.0,0,18,67.55555555555556,79
OpenHFT/Java-Thread-Affinity,154,2,95,3,4,0,0.0,0,4,72.0,76
OpenHFT/Chronicle-Wire,1077,1,173,172,7,0,0.0,0,7,58.142857142857146,68
OpenHFT/Chronicle-Wire,1081,1,101,112,1,0,0.0,0,1,54.0,54
jdereg/java-util,339,1,94,163,3,0,0.0,0,3,11.333333333333334,12
stingle/stingle-photos-android,152,1,36,42,1,0,0.0,0,1,69.0,69
cwuom/ono,2,2,2,4,2,0,0.0,0,2,40.0,51
spring-projects/spring-kafka,3944,2,457,4,6,5,18.0,28,6,90.16666666666667,114
ikarus23/MifareClassicTool,523,16,222,2,13,0,0.0,0,13,65.0,88
OpenHFT/Chronicle-Core,695,1,1,5,2,1,0.0,0,2,65.0,67
jbangdev/jbang,2092,3,3835,477,14,3,0.0,0,14,36.285714285714285,47
StarRocks/starrocks,61219,1,59,0,3,5,0.0,0,3,57.333333333333336,62
YunaiV/yudao-cloud,243,1,580,6,12,0,0.0,0,12,104.33333333333333,152
datahub-project/datahub,14037,1,8,3,3,2,0.0,1,3,45.0,50
StarRocks/starrocks,61394,16,951,30,14,10,13.0,11,14,57.42857142857143,101
StarRocks/starrocks,61403,6,778,0,12,10,6.0,2,12,50.916666666666664,103
YunaiV/ruoyi-vue-pro,895,1,57,43,1,0,0.0,0,1,9.0,9
YunaiV/ruoyi-vue-pro,906,1,390,359,1,0,0.0,0,1,9.0,9
datahub-project/datahub,14258,7,2590434,4047,4899,0,154.0,154,3000,44.473333333333336,108
StarRocks/starrocks,61244,3,1690,71,18,3,0.0,1,18,65.38888888888889,77
why168/LoopViewPagerLayout,31,1,247,23,3,0,0.0,0,3,52.333333333333336,76
liyupi/yu-ai-agent,6,1,1978,25,23,0,0.0,0,23,38.391304347826086,48
StarRocks/starrocks,61248,3,497,132,1,6,2.0,2,1,52.0,52
YunaiV/ruoyi-vue-pro,909,1,544,355,1,0,0.0,0,1,9.0,9
rieckpil/testing-spring-boot-applications-masterclass,464,9,16,14,7,3,0.0,0,7,57.714285714285715,94
domaframework/doma,1323,1,22,22,1,3,0.0,0,1,60.0,60
domaframework/doma,1325,1,233,164,1,2,0.0,0,1,75.0,75
