Repo,PR_number,Commits,Additions,Deletions,Files_Changed,Comments,Formal_Review,Inline_Comments_Review,NumPathsInFile,AvgPathCharLength,MaxPathCharLength
Camelcade/Perl5-IDEA,3004,1,5,5,2,4,0.0,0,2,72.5,73
Stirling-Tools/Stirling-PDF,3557,2,191,0,3,0,2.0,0,3,66.66666666666667,74
OpenHFT/Chronicle-Wire,1100,2,128,104,16,0,0.0,0,16,34.375,71
jdereg/java-util,277,1,8,0,2,0,0.0,0,2,47.0,82
traccar/traccar,5570,1,74,30,1,0,0.0,0,1,12.0,12
OpenHFT/Java-Thread-Affinity,167,1,11,0,1,0,0.0,0,1,65.0,65
OpenHFT/Java-Thread-Affinity,169,1,4,4,1,0,0.0,0,1,65.0,65
OpenHFT/Chronicle-Values,92,1,13,5,1,0,0.0,0,1,68.0,68
OpenHFT/Chronicle-Values,104,1,30,2,1,0,0.0,0,1,68.0,68
OpenHFT/Chronicle-Values,109,1,84,0,1,0,0.0,0,1,62.0,62
OpenHFT/Chronicle-Values,123,1,35,0,1,0,0.0,0,1,81.0,81
OpenHFT/Chronicle-Values,135,1,11,0,1,0,0.0,0,1,59.0,59
OpenHFT/Chronicle-Values,136,1,5,0,1,0,0.0,0,1,58.0,58
OpenHFT/Chronicle-Values,138,1,17,5,1,0,0.0,0,1,65.0,65
OpenHFT/Chronicle-Values,142,1,8,6,1,0,0.0,0,1,58.0,58
OpenHFT/Chronicle-Values,144,1,18,6,1,0,0.0,0,1,62.0,62
OpenHFT/Chronicle-Values,148,1,10,0,1,0,0.0,0,1,67.0,67
OpenHFT/Chronicle-Values,150,1,8,6,1,0,0.0,0,1,70.0,70
OpenHFT/Chronicle-Values,153,1,11,1,1,0,0.0,0,1,53.0,53
jdereg/json-io,325,1,60,1,3,0,0.0,0,3,56.666666666666664,80
jdereg/json-io,328,1,60,0,2,0,0.0,0,2,36.5,61
jdereg/json-io,332,2,7,0,1,0,0.0,0,1,76.0,76
USS-Shenzhou/MadParticle,18,1,3,0,2,0,0.0,0,2,47.5,83
halilozel1903/AndroidTVMovieParadise,8,1,61,28,4,0,0.0,0,4,62.5,82
halilozel1903/AndroidTVMovieParadise,21,1,5,1,2,0,0.0,0,2,44.5,51
jdereg/java-util,317,2,27,12,3,0,0.0,0,3,51.0,79
jdereg/java-util,318,1,12,1,2,0,0.0,0,2,37.0,62
jdereg/java-util,319,1,4,2,2,0,0.0,0,2,31.0,50
jdereg/java-util,320,1,25,8,3,0,0.0,0,3,24.666666666666668,50
VerisimilitudeX/DNAnalyzer,524,2,163,48,10,1,0.0,0,10,48.7,59
VerisimilitudeX/DNAnalyzer,525,2,58,6,8,1,0.0,0,8,41.75,55
jdereg/json-io,409,1,13,4,2,0,0.0,0,2,45.5,79
jdereg/java-util,225,2,27,3,1,0,0.0,0,1,64.0,64
OpenHFT/Java-Thread-Affinity,140,1,14,0,1,0,0.0,0,1,11.0,11
OpenHFT/Java-Thread-Affinity,148,1,25,0,1,0,0.0,0,1,70.0,70
OpenHFT/Chronicle-Wire,1096,1,20,94,1,0,0.0,0,1,24.0,24
VerisimilitudeX/DNAnalyzer,502,2,13,17,1,0,0.0,0,1,63.0,63
VerisimilitudeX/DNAnalyzer,506,2,157,1,4,0,0.0,0,4,29.75,44
SimonHalvdansson/Harmonic-HN,212,1,4,3,1,0,0.0,0,1,72.0,72
jdereg/json-io,330,1,5,1,2,0,0.0,0,2,34.0,56
jdereg/json-io,331,1,2,1,2,0,0.0,0,2,34.0,56
jdereg/json-io,333,2,6,7,2,0,0.0,0,2,34.0,56
jdereg/json-io,336,1,2,1,2,0,0.0,0,2,34.0,56
OpenHFT/Chronicle-Logger,144,1,22,0,1,0,0.0,0,1,88.0,88
OpenHFT/Chronicle-Logger,145,1,17,0,1,0,0.0,0,1,77.0,77
OpenHFT/Chronicle-Logger,147,1,23,8,1,0,0.0,0,1,92.0,92
OpenHFT/Chronicle-Logger,149,1,24,15,1,0,0.0,0,1,89.0,89
OpenHFT/Chronicle-Logger,154,1,47,4,1,0,0.0,0,1,85.0,85
OpenHFT/Chronicle-Logger,157,1,48,20,1,0,0.0,0,1,85.0,85
OpenHFT/Chronicle-Logger,159,1,27,1,1,0,0.0,0,1,87.0,87
OpenHFT/Chronicle-Logger,160,1,34,0,1,0,0.0,0,1,95.0,95
OpenHFT/Chronicle-Logger,166,1,27,0,1,0,0.0,0,1,78.0,78
OpenHFT/Chronicle-Logger,170,1,4,0,1,0,0.0,0,1,81.0,81
OpenHFT/Chronicle-Logger,171,1,2,2,1,0,0.0,0,1,92.0,92
OpenHFT/Chronicle-Logger,172,1,1,0,1,0,0.0,0,1,91.0,91
OpenHFT/Chronicle-Logger,173,1,1,1,1,0,0.0,0,1,91.0,91
OpenHFT/Chronicle-Logger,174,1,3,2,1,0,0.0,0,1,84.0,84
OpenHFT/Chronicle-Logger,175,1,2,2,1,0,0.0,0,1,84.0,84
OpenHFT/Chronicle-Logger,177,1,2,0,1,0,0.0,0,1,91.0,91
OpenHFT/Chronicle-Logger,178,1,1,1,1,0,0.0,0,1,88.0,88
OpenHFT/Chronicle-Logger,181,1,11,2,1,0,0.0,0,1,59.0,59
OpenHFT/Chronicle-Logger,185,1,10,2,1,0,0.0,0,1,61.0,61
OpenHFT/Chronicle-Logger,189,1,16,0,1,0,0.0,0,1,88.0,88
OpenHFT/Chronicle-Wire,1122,1,33,4,1,0,0.0,0,1,65.0,65
OpenHFT/Chronicle-Wire,1123,1,6,5,1,0,0.0,0,1,72.0,72
OpenHFT/Chronicle-Wire,1124,1,40,32,1,0,0.0,0,1,75.0,75
OpenHFT/Chronicle-Wire,1125,2,64,49,1,0,0.0,0,1,75.0,75
OpenHFT/Chronicle-Wire,1126,1,22,19,2,0,0.0,0,2,67.0,68
OpenHFT/Chronicle-Wire,1127,1,66,133,1,0,0.0,0,1,66.0,66
OpenHFT/Chronicle-Wire,1128,1,18,7,1,0,0.0,0,1,60.0,60
OpenHFT/Chronicle-Wire,1129,1,42,9,1,0,0.0,0,1,68.0,68
OpenHFT/Chronicle-Wire,1130,1,43,33,1,0,0.0,0,1,66.0,66
OpenHFT/Chronicle-Wire,1132,1,212,326,1,0,0.0,0,1,65.0,65
