full_name,number
OpenHFT/Chronicle-Wire,1061
OpenHFT/Chronicle-Wire,1062
OpenHFT/Chronicle-Wire,1064
OpenHFT/Chronicle-Wire,1065
OpenHFT/Chronicle-Wire,1066
OpenHFT/Chronicle-Wire,1068
OpenHFT/Chronicle-Wire,1069
OpenHFT/Chronicle-Wire,1070
OpenHFT/Chronicle-Wire,1071
OpenHFT/Chronicle-Wire,1072
OpenHFT/Chronicle-Wire,1073
jdereg/java-util,341
jdereg/java-util,148
jdereg/java-util,217
jdereg/java-util,219
Stirling-Tools/Stirling-PDF,3555
Stirling-Tools/Stirling-PDF,3556
jdereg/json-io,347
jdereg/json-io,357
VerisimilitudeX/DNAnalyzer,538
jdereg/json-io,366
jdereg/json-io,415
jdereg/json-io,417
jdereg/java-util,144
jdereg/java-util,143
jdereg/java-util,142
jdereg/java-util,261
jdereg/java-util,265
jdereg/java-util,266
jdereg/java-util,271
SimonHalvdansson/Harmonic-HN,223
OpenHFT/Chronicle-Values,132
OpenHFT/Chronicle-Values,134
OpenHFT/Chronicle-Values,137
OpenHFT/Chronicle-Values,143
OpenHFT/Chronicle-Values,145
OpenHFT/Chronicle-Values,152
OpenHFT/Java-Runtime-Compiler,150
OpenHFT/Java-Runtime-Compiler,152
OpenHFT/Java-Runtime-Compiler,154
OpenHFT/Java-Runtime-Compiler,155
OpenHFT/Java-Runtime-Compiler,156
OpenHFT/Java-Runtime-Compiler,157
jdereg/java-util,338
jdereg/java-util,263
EduMIPS64/edumips64,1379
OpenHFT/Chronicle-Threads,292
jdereg/json-io,315
jdereg/java-util,157
jdereg/java-util,168
jdereg/json-io,393
jdereg/json-io,399
jdereg/json-io,400
jdereg/json-io,401
SimonHalvdansson/Harmonic-HN,213
jdereg/java-util,230
jdereg/java-util,237
jdereg/java-util,244
jdereg/java-util,250
VerisimilitudeX/DNAnalyzer,543
SimonHalvdansson/Harmonic-HN,215
OpenHFT/Chronicle-Core,766
OpenHFT/Chronicle-Core,771
OpenHFT/Chronicle-Core,775
OpenHFT/Chronicle-Core,776
OpenHFT/Chronicle-Core,777
OpenHFT/Chronicle-Core,779
OpenHFT/Chronicle-Core,781
OpenHFT/Chronicle-Core,784
OpenHFT/Chronicle-Core,785
OpenHFT/Chronicle-Core,789
OpenHFT/Chronicle-Core,795
OpenHFT/Chronicle-Core,797
OpenHFT/Chronicle-Core,808
OpenHFT/Chronicle-Core,809
OpenHFT/Chronicle-Core,811
jdereg/java-util,122
jdereg/java-util,124
jdereg/java-util,125
jdereg/java-util,128
EduMIPS64/edumips64,1378
jdereg/java-util,347
jdereg/java-util,221
jdereg/java-util,251
jdereg/java-util,151
jdereg/java-util,162
OpenHFT/Chronicle-Wire,1078
OpenHFT/Chronicle-Wire,1079
OpenHFT/Chronicle-Wire,1082
OpenHFT/Chronicle-Wire,1083
OpenHFT/Chronicle-Wire,1084
OpenHFT/Chronicle-Wire,1085
OpenHFT/Chronicle-Wire,1086
OpenHFT/Chronicle-Wire,1087
OpenHFT/Chronicle-Wire,1089
OpenHFT/Chronicle-Wire,1093
OpenHFT/Chronicle-Bytes,656
jdereg/java-util,220
xpinjection/test-driven-spring-boot,7
OpenHFT/Chronicle-Values,114
OpenHFT/Chronicle-Values,118
OpenHFT/Chronicle-Values,74
OpenHFT/Chronicle-Values,115
OpenHFT/Chronicle-Values,116
OpenHFT/Chronicle-Core,787
OpenHFT/Chronicle-Core,796
OpenHFT/Chronicle-Core,800
OpenHFT/Chronicle-Core,801
OpenHFT/Chronicle-Core,802
OpenHFT/Chronicle-Core,803
OpenHFT/Chronicle-Core,804
OpenHFT/Chronicle-Core,805
OpenHFT/Chronicle-Core,806
EduMIPS64/edumips64,1380
jdereg/json-io,321
OpenHFT/Chronicle-Values,73
OpenHFT/Chronicle-Values,81
OpenHFT/Chronicle-Values,83
OpenHFT/Chronicle-Values,84
OpenHFT/Chronicle-Values,85
OpenHFT/Chronicle-Values,86
OpenHFT/Chronicle-Values,90
OpenHFT/Chronicle-Values,91
OpenHFT/Chronicle-Values,93
OpenHFT/Chronicle-Values,96
OpenHFT/Chronicle-Values,97
OpenHFT/Chronicle-Values,98
OpenHFT/Chronicle-Values,99
OpenHFT/Chronicle-Values,100
OpenHFT/Chronicle-Values,101
OpenHFT/Chronicle-Values,102
OpenHFT/Chronicle-Values,103
OpenHFT/Chronicle-Values,105
OpenHFT/Chronicle-Values,106
OpenHFT/Chronicle-Values,107
OpenHFT/Chronicle-Values,108
OpenHFT/Chronicle-Values,110
