PR_ID,Contributors,Stars,Forks,Watchers,Duration_Days,Commits,Open_Issues,Closed_Issues,Pull_Requests
7735,153,5285,297,5460,1602,4712,994,2945,4898
7927,153,5285,297,5460,1602,4712,994,2945,4898
4353,96,538,100,637,1232,3728,157,1044,3749
7755,153,5285,297,5460,1602,4712,994,2945,4898
4324,96,538,100,637,1232,3728,157,1044,3749
8008,153,5285,297,5460,1602,4712,994,2945,4898
22,4,274,98,522,863,44,4,16,7
2117,45,1336,458,1371,1918,6758,24,245,2043
4328,91,307,207,312,4004,5242,54,944,3525
7426,153,5285,297,5460,1602,4712,994,2945,4898
7967,153,5285,297,5460,1602,4712,994,2945,4898
35007,297,3746,684,3881,3531,83571,2283,11186,27630
1363,28,168,59,170,5189,1975,56,218,1147
1364,28,168,59,170,5189,1975,56,218,1147
4376,96,538,100,637,1232,3728,157,1044,3749
4377,96,538,100,637,1232,3728,157,1044,3749
4380,96,538,100,637,1232,3728,157,1044,3749
4381,96,538,100,637,1232,3728,157,1044,3749
4384,96,538,100,637,1232,3728,157,1044,3749
4386,96,538,100,637,1232,3728,157,1044,3749
747,60,609,134,619,3921,3993,7,319,508
749,60,609,134,619,3921,3993,7,319,508
149,22,428,110,429,4456,2342,2,23,333
147,22,428,110,429,4456,2342,2,23,333
146,22,428,110,429,4456,2342,2,23,333
141,22,428,110,429,4456,2342,2,23,333
139,22,428,110,429,4456,2342,2,23,333
293,22,428,110,429,4456,2342,2,23,333
294,22,428,110,429,4456,2342,2,23,333
315,22,428,110,429,4456,2342,2,23,333
152,41,1854,372,1880,4443,682,7,68,116
155,41,1854,372,1880,4443,682,7,68,116
737,60,609,134,619,3921,3993,7,319,508
677,45,420,87,430,3921,3945,2,307,402
245,22,428,110,429,4456,2342,2,23,333
257,22,428,110,429,4456,2342,2,23,333
755,60,609,134,619,3921,3993,7,319,508
757,60,609,134,619,3921,3993,7,319,508
764,60,609,134,619,3921,3993,7,319,508
782,60,609,134,619,3921,3993,7,319,508
792,60,609,134,619,3921,3993,7,319,508
807,60,609,134,619,3921,3993,7,319,508
17,1,179,67,190,2180,113,0,6,19
19,1,179,67,190,2180,113,0,6,19
408,46,337,114,341,4459,2447,2,131,293
407,46,337,114,341,4459,2447,2,131,293
405,46,337,114,341,4459,2447,2,131,293
378,46,337,114,341,4459,2447,2,131,293
527,54,155,67,165,1206,1690,0,208,315
322,46,337,114,341,4459,2447,2,131,293
657,45,420,87,430,3921,3945,2,307,402
659,45,420,87,430,3921,3945,2,307,402
660,45,420,87,430,3921,3945,2,307,402
